timestamp,Infrared to Red Signal Ratio
04/12/26 00:06:30,13
04/12/26 00:07:30,-47
04/12/26 00:08:30,-1
04/12/26 00:09:30,20
04/12/26 00:10:30,-23
04/12/26 00:11:30,-12
04/12/26 00:12:30,21
04/12/26 00:13:32,0
04/12/26 00:14:32,0
04/12/26 00:15:32,-1
04/12/26 00:16:32,0
04/12/26 00:17:32,18
04/12/26 00:18:32,-5
04/12/26 00:19:32,-1
04/12/26 00:20:32,4
04/12/26 00:21:32,-8
04/12/26 00:22:32,0
04/12/26 00:23:32,14
04/12/26 00:24:32,-4
04/12/26 00:25:32,0
04/12/26 00:26:32,0
04/12/26 04:33:30,8
04/12/26 04:34:30,4
04/12/26 04:35:30,4
04/12/26 04:36:30,2
04/12/26 04:37:30,19
04/12/26 04:38:30,4
04/12/26 04:39:30,25
04/12/26 04:40:30,-22
04/12/26 04:41:30,3
04/12/26 04:42:30,-4
04/12/26 04:43:30,0
04/12/26 04:44:30,-2
04/12/26 04:45:30,-3
04/12/26 04:46:30,0
04/12/26 04:47:30,-4
04/12/26 04:48:30,0
04/12/26 04:49:30,1
04/12/26 04:50:30,3
04/12/26 04:51:30,0
04/12/26 04:52:30,0
04/12/26 04:53:30,-3
04/12/26 04:54:30,11
04/12/26 04:55:30,-1
04/12/26 04:56:30,18
04/12/26 04:57:30,0
04/12/26 04:58:30,-5
04/12/26 04:59:30,25
04/12/26 05:00:30,0
04/12/26 05:01:30,9
04/12/26 05:02:30,13
04/12/26 05:03:30,40
04/12/26 05:04:30,37
04/12/26 05:05:30,-13
04/12/26 05:06:30,0
04/12/26 05:07:30,5
04/12/26 05:08:30,16
04/12/26 05:09:30,-15
04/12/26 05:10:30,17
04/12/26 05:11:30,0
04/12/26 05:12:30,7
04/12/26 05:13:30,0
04/12/26 05:14:30,-21
04/12/26 05:15:30,-2
04/12/26 05:16:30,4
04/12/26 05:17:30,-8
04/12/26 05:18:30,0
04/12/26 05:19:30,0
04/12/26 05:20:30,0
04/12/26 05:21:30,1
04/12/26 05:22:30,-2
04/12/26 05:23:30,-1
04/12/26 05:24:30,1
04/12/26 05:25:30,0
04/12/26 05:26:30,14
04/12/26 05:27:30,-9
04/12/26 05:28:30,-8
04/12/26 05:29:30,21
04/12/26 05:30:30,23
04/12/26 05:31:30,-56
04/12/26 05:32:30,-5
04/12/26 05:33:30,5
04/12/26 05:34:30,-8
04/12/26 05:35:30,-22
04/12/26 05:36:30,4
04/12/26 05:37:30,0
04/12/26 05:38:30,-2
04/12/26 05:39:30,4
04/12/26 05:40:30,0
04/12/26 05:41:30,0
04/12/26 05:42:30,0
04/12/26 05:43:30,0
04/12/26 05:44:30,12
04/12/26 05:45:30,0
04/12/26 05:46:30,4
04/12/26 05:47:30,-45
04/12/26 05:48:30,1
04/12/26 05:49:30,0
04/12/26 05:50:30,40
04/12/26 05:51:30,-1
04/12/26 05:52:30,17
04/12/26 05:53:30,0
04/12/26 05:54:30,-4
04/12/26 05:55:30,0
04/12/26 05:56:30,-1
04/12/26 05:57:30,31
04/12/26 05:58:30,0
04/12/26 05:59:30,11
04/12/26 06:00:30,-31
04/12/26 06:01:30,-6
04/12/26 06:02:30,7
04/12/26 06:03:30,-8
04/12/26 06:04:30,-15
04/12/26 06:05:30,-42
04/12/26 06:06:30,-18
04/12/26 06:07:30,0
04/12/26 06:08:30,39
04/12/26 06:09:30,-3
04/12/26 06:10:30,-47
04/12/26 06:11:30,-58
04/12/26 06:12:30,-5
04/12/26 06:13:30,0
04/12/26 06:14:30,2
04/12/26 06:15:30,0
04/12/26 06:16:30,-4
04/12/26 06:17:30,-6
04/12/26 06:18:30,-3
04/12/26 06:19:30,0
04/12/26 06:20:30,-24
04/12/26 06:21:30,34
04/12/26 06:22:30,-2
04/12/26 06:23:30,0
04/12/26 06:24:30,-3
04/12/26 06:25:30,-13
04/12/26 06:26:30,-8
04/12/26 06:27:30,-1
04/12/26 06:28:30,-28
04/12/26 06:29:30,0
04/12/26 06:30:30,8
04/12/26 06:31:30,-43
04/12/26 06:32:30,-8
04/12/26 06:33:30,-3
04/12/26 06:34:30,-24
04/12/26 06:35:30,0
04/12/26 06:36:30,-1
04/12/26 06:37:30,0
04/12/26 06:38:30,5
04/12/26 06:39:30,-8
04/12/26 06:40:30,-36
04/12/26 06:41:30,-17
04/12/26 06:42:30,0
04/12/26 06:43:30,-19
04/12/26 06:44:30,-14
04/12/26 06:45:30,0
04/12/26 06:46:30,-8
04/12/26 06:47:30,5
04/12/26 06:48:30,-17
04/12/26 06:49:30,-9
04/12/26 06:50:30,-4
04/12/26 06:51:30,-6
04/12/26 06:52:30,0
04/12/26 06:53:30,-8
04/12/26 06:54:30,-34
04/12/26 06:55:30,0
04/12/26 06:56:30,10
04/12/26 06:57:30,-4
04/12/26 06:58:30,8
04/12/26 06:59:30,-8
04/12/26 07:00:30,4
04/12/26 07:01:30,0
