value_time,setting_name,setting_value
2026-03-19 18:21:01+0000,activity state,sedentary
2026-03-19 18:21:01+0000,auto run enabled,true
2026-03-19 18:21:01+0000,auto stride enabled,true
2026-03-19 18:21:01+0000,body constitution,regular
2026-03-19 18:21:01+0000,is nursing,false
2026-03-19 18:21:01+0000,pregnant state,not pregnant
2026-03-19 18:21:01+0000,sleep proc algorithm,composite
2026-03-19 18:36:15+0000,stride length running,953
2026-03-19 18:36:15+0000,stride length walking,629
2026-04-14 04:09:39+0000,sedentary prune time,2026-04-14T00:00:00.0Z
2026-04-14 17:37:31+0000,hr scaling sleep rest,"[2026-04-14] Current: 0.92, [2026-04-13] Previous: 0.92"
