timestamp,rmssd,coverage,low_frequency,high_frequency
2026-04-12T01:55:00,30.521,1.001,562.118,188.576
2026-04-12T02:10:00,33.341,0.783,525.307,108.212
2026-04-12T02:15:00,31.478,0.911,821.701,286.112
2026-04-12T02:20:00,27.427,0.796,417.297,119.851
2026-04-12T02:50:00,27.908,0.965,412.469,116.491
2026-04-12T02:55:00,36.38,0.902,646.473,203.351
2026-04-12T03:00:00,30.503,0.864,528.165,79.991
2026-04-12T03:40:00,21.974,0.959,240.03,50.709
2026-04-12T03:50:00,34.904,0.912,494.317,149.007
2026-04-12T03:55:00,29.47,0.905,336.007,142.171
2026-04-12T04:00:00,26.61,0.918,302.112,106.155
2026-04-12T04:05:00,37.001,0.955,894.004,212.981
2026-04-12T04:15:00,19.212,0.875,587.56,82.562
2026-04-12T04:20:00,30.534,0.937,710.694,210.183
2026-04-12T04:25:00,34.646,0.975,1086.774,243.915
2026-04-12T04:30:00,33.922,0.989,970.889,250.606
2026-04-12T04:35:00,26.401,1.001,292.836,176.037
2026-04-12T04:40:00,25.302,1.003,350.52,178.933
2026-04-12T04:45:00,27.617,1.001,741.828,172.945
2026-04-12T04:50:00,27.011,1.001,767.041,190.557
2026-04-12T04:55:00,23.209,0.989,387.646,126.99
2026-04-12T05:00:00,27.432,1.003,1539.277,208.811
2026-04-12T05:05:00,24.657,0.963,421.025,138.09
2026-04-12T05:10:00,20.594,0.969,1345.184,109.482
2026-04-12T05:15:00,22.4,0.972,406.645,143.219
2026-04-12T05:20:00,22.754,0.942,1043.106,113.298
2026-04-12T05:25:00,23.326,0.976,643.096,120.902
2026-04-12T05:30:00,24.663,0.976,323.228,208.954
2026-04-12T05:35:00,20.611,1.0,527.288,96.403
2026-04-12T05:40:00,18.64,1.003,309.048,79.374
2026-04-12T05:45:00,19.274,1.004,341.332,73.673
2026-04-12T05:50:00,21.752,1.001,299.624,124.989
2026-04-12T05:55:00,21.406,1.002,449.918,129.976
2026-04-12T06:00:00,22.14,1.002,468.508,89.788
2026-04-12T06:05:00,22.744,1.001,832.189,136.064
2026-04-12T06:10:00,17.887,0.997,281.756,90.368
2026-04-12T06:15:00,23.162,0.964,296.967,115.604
2026-04-12T06:20:00,26.187,0.981,1347.87,174.203
2026-04-12T06:25:00,26.462,0.969,426.133,127.668
2026-04-12T06:30:00,24.182,0.991,264.412,90.561
2026-04-12T06:35:00,27.249,0.99,1177.533,129.202
2026-04-12T06:40:00,23.5,0.977,1194.299,141.77
2026-04-12T06:45:00,21.577,0.996,621.992,110.221
2026-04-12T06:50:00,23.641,0.979,417.834,120.088
2026-04-12T06:55:00,25.82,0.963,203.098,178.678
2026-04-12T07:00:00,21.707,1.003,264.94,128.487
2026-04-12T07:05:00,27.824,0.975,1349.058,160.689
2026-04-12T07:10:00,25.256,1.003,408.313,156.729
2026-04-12T07:15:00,23.297,1.004,559.886,127.229
2026-04-12T07:20:00,25.276,1.001,603.168,147.334
2026-04-12T07:25:00,29.712,0.961,872.002,228.346
2026-04-12T07:30:00,28.476,0.961,701.699,173.873
2026-04-12T07:35:00,32.096,0.999,2223.465,281.638
2026-04-12T07:40:00,35.885,0.961,1196.733,216.407
2026-04-12T07:45:00,24.352,1.005,309.504,96.58
2026-04-12T07:50:00,28.092,1.001,791.443,222.177
2026-04-12T07:55:00,30.999,0.93,994.658,286.125
2026-04-12T08:00:00,23.114,0.968,898.352,82.062
2026-04-12T08:05:00,30.607,0.963,718.312,134.263
2026-04-12T08:10:00,27.073,1.001,516.724,180.152
2026-04-12T08:15:00,35.625,0.841,2808.397,276.737
2026-04-12T08:20:00,28.488,0.977,2750.928,120.888
