timestamp,level,data source
2026-04-02T17:04:00Z,SEDENTARY,Fitbit App
2026-04-02T17:07:00Z,SEDENTARY,Fitbit App
2026-04-02T17:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-02T17:18:00Z,SEDENTARY,Fitbit App
2026-04-02T17:19:00Z,SEDENTARY,Fitbit App
2026-04-02T18:06:00Z,SEDENTARY,Fitbit App
2026-04-02T18:08:00Z,SEDENTARY,Fitbit App
2026-04-02T18:09:00Z,SEDENTARY,Fitbit App
2026-04-02T18:10:00Z,SEDENTARY,Fitbit App
2026-04-02T18:11:00Z,SEDENTARY,Fitbit App
2026-04-02T18:12:00Z,SEDENTARY,Fitbit App
2026-04-02T18:13:00Z,SEDENTARY,Fitbit App
2026-04-02T18:17:00Z,SEDENTARY,Fitbit App
2026-04-02T18:32:00Z,SEDENTARY,Fitbit App
2026-04-06T02:43:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T02:44:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T02:45:00Z,SEDENTARY,Fitbit App
2026-04-06T02:46:00Z,SEDENTARY,Fitbit App
2026-04-06T02:47:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T02:48:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T02:49:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T02:50:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T02:53:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T02:54:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T03:04:00Z,SEDENTARY,Fitbit App
2026-04-06T03:05:00Z,SEDENTARY,Fitbit App
2026-04-06T03:07:00Z,SEDENTARY,Fitbit App
2026-04-06T03:08:00Z,SEDENTARY,Fitbit App
2026-04-06T03:09:00Z,SEDENTARY,Fitbit App
2026-04-06T03:11:00Z,SEDENTARY,Fitbit App
2026-04-06T03:13:00Z,SEDENTARY,Fitbit App
2026-04-06T03:18:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T03:19:00Z,SEDENTARY,Fitbit App
2026-04-06T03:20:00Z,SEDENTARY,Fitbit App
2026-04-06T03:23:00Z,SEDENTARY,Fitbit App
2026-04-06T03:28:00Z,SEDENTARY,Fitbit App
2026-04-06T03:32:00Z,SEDENTARY,Fitbit App
2026-04-06T03:39:00Z,SEDENTARY,Fitbit App
2026-04-06T04:03:00Z,SEDENTARY,Fitbit App
2026-04-06T04:22:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T04:23:00Z,SEDENTARY,Fitbit App
2026-04-06T04:24:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T04:25:00Z,SEDENTARY,Fitbit App
2026-04-06T04:26:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T04:27:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T04:28:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T04:29:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T04:30:00Z,SEDENTARY,Fitbit App
2026-04-06T04:33:00Z,SEDENTARY,Fitbit App
2026-04-06T04:34:00Z,SEDENTARY,Fitbit App
2026-04-06T04:39:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T04:41:00Z,SEDENTARY,Fitbit App
2026-04-06T04:48:00Z,SEDENTARY,Fitbit App
2026-04-06T04:54:00Z,SEDENTARY,Fitbit App
2026-04-06T04:56:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-04-06T05:00:00Z,SEDENTARY,Fitbit App
2026-04-06T05:09:00Z,SEDENTARY,Fitbit App
2026-04-06T05:16:00Z,SEDENTARY,Fitbit App
2026-04-06T05:19:00Z,SEDENTARY,Fitbit App
2026-04-06T05:22:00Z,SEDENTARY,Fitbit App
