timestamp,heart_rate_zone,data source
2026-03-19T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-03-20T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-03-21T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-03-22T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-03-23T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-03-24T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-03-25T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-03-26T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-03-27T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-03-28T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
