timestamp,beats per minute,data source
2026-04-13T00:00:01Z,83.0,Inspire 3
2026-04-13T00:00:03Z,82.0,Inspire 3
2026-04-13T00:00:06Z,82.0,Inspire 3
2026-04-13T00:00:09Z,82.0,Inspire 3
2026-04-13T00:00:11Z,81.0,Inspire 3
2026-04-13T00:00:14Z,81.0,Inspire 3
2026-04-13T00:00:15Z,82.0,Inspire 3
2026-04-13T00:00:18Z,82.0,Inspire 3
2026-04-13T00:00:21Z,82.0,Inspire 3
2026-04-13T00:00:24Z,82.0,Inspire 3
2026-04-13T00:00:26Z,83.0,Inspire 3
2026-04-13T00:00:28Z,84.0,Inspire 3
2026-04-13T00:00:30Z,84.0,Inspire 3
2026-04-13T00:00:32Z,82.0,Inspire 3
2026-04-13T00:00:35Z,82.0,Inspire 3
2026-04-13T00:00:38Z,84.0,Inspire 3
2026-04-13T00:00:41Z,84.0,Inspire 3
2026-04-13T00:00:43Z,82.0,Inspire 3
2026-04-13T00:00:46Z,82.0,Inspire 3
2026-04-13T00:00:49Z,82.0,Inspire 3
2026-04-13T00:00:51Z,82.0,Inspire 3
2026-04-13T00:00:54Z,82.0,Inspire 3
2026-04-13T00:00:55Z,84.0,Inspire 3
2026-04-13T00:00:57Z,85.0,Inspire 3
2026-04-13T00:00:59Z,86.0,Inspire 3
2026-04-13T00:01:02Z,86.0,Inspire 3
2026-04-13T00:01:03Z,87.0,Inspire 3
2026-04-13T00:01:05Z,86.0,Inspire 3
2026-04-13T00:01:08Z,88.0,Inspire 3
2026-04-13T00:01:10Z,90.0,Inspire 3
2026-04-13T00:01:12Z,93.0,Inspire 3
2026-04-13T00:01:14Z,94.0,Inspire 3
2026-04-13T00:01:16Z,89.0,Inspire 3
2026-04-13T00:01:18Z,87.0,Inspire 3
2026-04-13T00:01:20Z,86.0,Inspire 3
2026-04-13T00:01:23Z,86.0,Inspire 3
2026-04-13T00:01:26Z,86.0,Inspire 3
2026-04-13T00:01:28Z,85.0,Inspire 3
2026-04-13T00:01:29Z,84.0,Inspire 3
2026-04-13T00:01:32Z,84.0,Inspire 3
2026-04-13T00:01:35Z,84.0,Inspire 3
2026-04-13T00:01:38Z,84.0,Inspire 3
2026-04-13T00:01:41Z,84.0,Inspire 3
2026-04-13T00:01:44Z,84.0,Inspire 3
2026-04-13T00:01:47Z,84.0,Inspire 3
2026-04-13T00:01:49Z,82.0,Inspire 3
2026-04-13T00:01:51Z,80.0,Inspire 3
2026-04-13T00:01:53Z,78.0,Inspire 3
2026-04-13T00:01:56Z,78.0,Inspire 3
2026-04-13T00:01:58Z,79.0,Inspire 3
2026-04-13T00:02:00Z,80.0,Inspire 3
2026-04-13T00:02:03Z,80.0,Inspire 3
2026-04-13T00:02:06Z,80.0,Inspire 3
2026-04-13T00:02:08Z,82.0,Inspire 3
2026-04-13T00:02:10Z,86.0,Inspire 3
2026-04-13T00:02:12Z,87.0,Inspire 3
2026-04-13T00:02:15Z,87.0,Inspire 3
2026-04-13T00:02:16Z,86.0,Inspire 3
2026-04-13T00:02:17Z,84.0,Inspire 3
2026-04-13T00:02:20Z,84.0,Inspire 3
2026-04-13T00:02:23Z,84.0,Inspire 3
2026-04-13T00:02:25Z,83.0,Inspire 3
2026-04-13T00:02:28Z,83.0,Inspire 3
2026-04-13T00:02:29Z,82.0,Inspire 3
2026-04-13T00:02:32Z,82.0,Inspire 3
2026-04-13T00:02:35Z,81.0,Inspire 3
2026-04-13T00:02:37Z,80.0,Inspire 3
2026-04-13T00:02:40Z,80.0,Inspire 3
2026-04-13T00:02:41Z,79.0,Inspire 3
2026-04-13T00:02:42Z,78.0,Inspire 3
2026-04-13T00:02:45Z,78.0,Inspire 3
2026-04-13T00:02:48Z,78.0,Inspire 3
2026-04-13T00:02:51Z,78.0,Inspire 3
2026-04-13T00:02:52Z,77.0,Inspire 3
2026-04-13T00:02:54Z,76.0,Inspire 3
2026-04-13T00:02:57Z,76.0,Inspire 3
2026-04-13T00:03:00Z,76.0,Inspire 3
2026-04-13T00:03:03Z,76.0,Inspire 3
2026-04-13T00:03:04Z,77.0,Inspire 3
2026-04-13T00:03:05Z,78.0,Inspire 3
2026-04-13T00:03:07Z,80.0,Inspire 3
2026-04-13T00:03:10Z,80.0,Inspire 3
2026-04-13T00:03:13Z,80.0,Inspire 3
2026-04-13T00:03:15Z,81.0,Inspire 3
2026-04-13T00:03:18Z,81.0,Inspire 3
2026-04-13T00:03:19Z,80.0,Inspire 3
2026-04-13T00:03:22Z,80.0,Inspire 3
2026-04-13T00:03:23Z,78.0,Inspire 3
2026-04-13T00:03:25Z,77.0,Inspire 3
2026-04-13T00:03:28Z,77.0,Inspire 3
2026-04-13T00:03:29Z,78.0,Inspire 3
2026-04-13T00:03:32Z,79.0,Inspire 3
2026-04-13T00:03:34Z,80.0,Inspire 3
2026-04-13T00:03:36Z,79.0,Inspire 3
2026-04-13T00:03:38Z,78.0,Inspire 3
2026-04-13T00:03:41Z,78.0,Inspire 3
2026-04-13T00:03:42Z,78.0,Inspire 3
2026-04-13T00:03:45Z,78.0,Inspire 3
2026-04-13T00:03:48Z,77.0,Inspire 3
2026-04-13T00:03:50Z,76.0,Inspire 3
2026-04-13T00:03:53Z,76.0,Inspire 3
2026-04-13T00:03:55Z,76.0,Inspire 3
2026-04-13T00:03:57Z,77.0,Inspire 3
2026-04-13T00:03:59Z,76.0,Inspire 3
2026-04-13T00:04:02Z,76.0,Inspire 3
2026-04-13T00:04:03Z,78.0,Inspire 3
2026-04-13T00:04:06Z,78.0,Inspire 3
2026-04-13T00:04:09Z,78.0,Inspire 3
2026-04-13T00:04:11Z,79.0,Inspire 3
2026-04-13T00:04:13Z,80.0,Inspire 3
2026-04-13T00:04:16Z,80.0,Inspire 3
2026-04-13T00:04:19Z,80.0,Inspire 3
2026-04-13T00:04:20Z,79.0,Inspire 3
2026-04-13T00:04:22Z,80.0,Inspire 3
2026-04-13T00:04:25Z,80.0,Inspire 3
2026-04-13T00:04:28Z,80.0,Inspire 3
2026-04-13T00:04:30Z,82.0,Inspire 3
2026-04-13T00:04:32Z,83.0,Inspire 3
2026-04-13T00:04:35Z,83.0,Inspire 3
2026-04-13T00:04:36Z,82.0,Inspire 3
2026-04-13T00:04:39Z,82.0,Inspire 3
2026-04-13T00:04:40Z,81.0,Inspire 3
2026-04-13T00:04:43Z,82.0,Inspire 3
2026-04-13T00:04:45Z,83.0,Inspire 3
2026-04-13T00:04:47Z,84.0,Inspire 3
2026-04-13T00:04:49Z,83.0,Inspire 3
2026-04-13T00:04:52Z,83.0,Inspire 3
2026-04-13T00:04:53Z,82.0,Inspire 3
2026-04-13T00:04:55Z,82.0,Inspire 3
2026-04-13T00:04:58Z,82.0,Inspire 3
2026-04-13T00:05:01Z,82.0,Inspire 3
2026-04-13T00:05:04Z,82.0,Inspire 3
2026-04-13T00:05:06Z,81.0,Inspire 3
2026-04-13T00:05:09Z,81.0,Inspire 3
2026-04-13T00:05:10Z,82.0,Inspire 3
2026-04-13T00:05:13Z,82.0,Inspire 3
2026-04-13T00:05:16Z,82.0,Inspire 3
2026-04-13T00:05:19Z,82.0,Inspire 3
2026-04-13T00:05:22Z,82.0,Inspire 3
2026-04-13T00:05:25Z,82.0,Inspire 3
2026-04-13T00:05:28Z,82.0,Inspire 3
2026-04-13T00:05:31Z,82.0,Inspire 3
2026-04-13T00:05:34Z,82.0,Inspire 3
2026-04-13T00:05:37Z,82.0,Inspire 3
2026-04-13T00:05:40Z,82.0,Inspire 3
