timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-06T08:20:00Z,35.8,0.0,Fitbit App
2026-04-06T08:25:00Z,36.2,0.0,Fitbit App
2026-04-06T08:30:00Z,45.2,0.0,Fitbit App
2026-04-06T08:35:00Z,35.5,0.0,Fitbit App
2026-04-06T08:40:00Z,40.7,0.0,Fitbit App
2026-04-06T08:45:00Z,36.6,0.0,Fitbit App
2026-04-06T08:50:00Z,33.9,0.0,Fitbit App
2026-04-06T08:55:00Z,37.4,0.0,Fitbit App
2026-04-06T09:00:00Z,37.2,0.0,Fitbit App
2026-04-06T09:05:00Z,30.2,0.0,Fitbit App
2026-04-06T09:10:00Z,24.5,0.0,Fitbit App
2026-04-06T09:15:00Z,27.7,0.0,Fitbit App
2026-04-06T09:20:00Z,24.4,0.0,Fitbit App
2026-04-06T09:25:00Z,16.5,0.0,Fitbit App
2026-04-06T09:30:00Z,14.5,0.0,Fitbit App
2026-04-06T09:35:00Z,15.5,0.0,Fitbit App
2026-04-06T09:40:00Z,22.9,0.0,Fitbit App
2026-04-06T09:45:00Z,22.4,0.0,Fitbit App
2026-04-06T09:50:00Z,21.4,0.0,Fitbit App
2026-04-06T09:55:00Z,19.9,0.0,Fitbit App
2026-04-06T10:00:00Z,26.8,0.0,Fitbit App
2026-04-06T10:05:00Z,21.5,0.0,Fitbit App
2026-04-06T10:10:00Z,24.4,0.0,Fitbit App
2026-04-06T10:15:00Z,24.2,0.0,Fitbit App
2026-04-06T10:20:00Z,25.8,0.0,Fitbit App
2026-04-06T10:25:00Z,25.1,0.0,Fitbit App
2026-04-06T10:30:00Z,26.2,0.0,Fitbit App
2026-04-06T10:35:00Z,24.0,0.0,Fitbit App
2026-04-06T10:40:00Z,28.5,0.0,Fitbit App
2026-04-06T10:45:00Z,23.8,0.0,Fitbit App
2026-04-06T10:50:00Z,23.8,0.0,Fitbit App
2026-04-06T10:55:00Z,27.0,0.0,Fitbit App
2026-04-06T11:00:00Z,33.0,0.0,Fitbit App
