timestamp,oxygen saturation percentage,data source
2026-04-06T08:44:03Z,88.5,Inspire 3
2026-04-06T08:45:03Z,88.8,Inspire 3
2026-04-06T08:46:03Z,88.8,Inspire 3
2026-04-06T08:47:03Z,88.8,Inspire 3
2026-04-06T08:48:03Z,88.9,Inspire 3
2026-04-06T08:50:03Z,90.2,Inspire 3
2026-04-06T08:51:03Z,89.9,Inspire 3
2026-04-06T08:52:03Z,89.7,Inspire 3
2026-04-06T08:53:03Z,89.7,Inspire 3
2026-04-06T08:54:03Z,89.7,Inspire 3
2026-04-06T08:55:03Z,89.7,Inspire 3
2026-04-06T08:56:03Z,89.9,Inspire 3
2026-04-06T08:57:03Z,89.9,Inspire 3
2026-04-06T08:58:03Z,89.9,Inspire 3
2026-04-06T08:59:03Z,90.1,Inspire 3
2026-04-06T09:00:03Z,90.5,Inspire 3
2026-04-06T09:01:03Z,90.4,Inspire 3
2026-04-06T09:02:03Z,90.6,Inspire 3
2026-04-06T09:03:03Z,90.6,Inspire 3
2026-04-06T09:04:03Z,50.0,Inspire 3
2026-04-06T09:05:03Z,92.3,Inspire 3
2026-04-06T09:06:03Z,93.6,Inspire 3
2026-04-06T09:07:03Z,94.3,Inspire 3
2026-04-06T09:08:03Z,94.8,Inspire 3
2026-04-06T09:09:03Z,95.1,Inspire 3
2026-04-06T09:10:03Z,95.4,Inspire 3
2026-04-06T09:11:03Z,50.0,Inspire 3
2026-04-06T09:12:03Z,94.5,Inspire 3
2026-04-06T09:13:03Z,93.1,Inspire 3
2026-04-06T09:14:03Z,92.4,Inspire 3
2026-04-06T09:15:03Z,91.8,Inspire 3
2026-04-06T09:16:03Z,50.0,Inspire 3
2026-04-06T09:17:03Z,50.0,Inspire 3
2026-04-06T09:18:03Z,50.0,Inspire 3
2026-04-06T09:19:03Z,92.1,Inspire 3
2026-04-06T09:20:03Z,92.4,Inspire 3
2026-04-06T09:21:03Z,92.3,Inspire 3
2026-04-06T09:22:03Z,92.6,Inspire 3
2026-04-06T09:23:03Z,92.5,Inspire 3
2026-04-06T09:24:03Z,91.7,Inspire 3
2026-04-06T09:25:03Z,92.2,Inspire 3
2026-04-06T09:26:03Z,92.1,Inspire 3
2026-04-06T09:27:03Z,91.4,Inspire 3
2026-04-06T09:28:03Z,91.4,Inspire 3
2026-04-06T09:29:03Z,91.6,Inspire 3
2026-04-06T09:30:03Z,91.2,Inspire 3
2026-04-06T09:31:03Z,91.7,Inspire 3
2026-04-06T09:32:03Z,90.9,Inspire 3
2026-04-06T09:33:03Z,91.1,Inspire 3
2026-04-06T09:34:03Z,90.5,Inspire 3
2026-04-06T09:35:03Z,89.8,Inspire 3
2026-04-06T09:36:03Z,89.5,Inspire 3
2026-04-06T09:37:03Z,89.5,Inspire 3
2026-04-06T09:38:03Z,91.1,Inspire 3
2026-04-06T09:39:03Z,92.1,Inspire 3
2026-04-06T09:40:03Z,91.8,Inspire 3
2026-04-06T09:41:03Z,92.2,Inspire 3
2026-04-06T09:42:03Z,92.5,Inspire 3
2026-04-06T09:43:03Z,91.4,Inspire 3
2026-04-06T09:44:03Z,91.0,Inspire 3
2026-04-06T09:45:03Z,90.7,Inspire 3
2026-04-06T09:46:03Z,89.6,Inspire 3
2026-04-06T09:47:03Z,89.2,Inspire 3
2026-04-06T09:48:03Z,89.7,Inspire 3
2026-04-06T09:49:03Z,89.5,Inspire 3
2026-04-06T09:50:03Z,89.6,Inspire 3
2026-04-06T09:51:03Z,89.7,Inspire 3
2026-04-06T09:52:03Z,89.6,Inspire 3
2026-04-06T09:53:03Z,89.4,Inspire 3
2026-04-06T09:54:03Z,89.7,Inspire 3
2026-04-06T09:55:03Z,89.3,Inspire 3
2026-04-06T09:56:03Z,50.0,Inspire 3
2026-04-06T09:57:03Z,89.7,Inspire 3
2026-04-06T09:58:03Z,89.2,Inspire 3
2026-04-06T09:59:03Z,88.6,Inspire 3
2026-04-06T10:00:03Z,88.9,Inspire 3
2026-04-06T10:01:03Z,88.3,Inspire 3
2026-04-06T10:02:03Z,87.9,Inspire 3
2026-04-06T10:03:03Z,87.7,Inspire 3
2026-04-06T10:04:03Z,87.4,Inspire 3
2026-04-06T10:05:03Z,87.3,Inspire 3
2026-04-06T10:06:03Z,87.2,Inspire 3
2026-04-06T10:07:03Z,87.0,Inspire 3
2026-04-06T10:08:03Z,86.6,Inspire 3
2026-04-06T10:09:03Z,87.0,Inspire 3
2026-04-06T10:10:03Z,86.8,Inspire 3
2026-04-06T10:11:03Z,87.0,Inspire 3
2026-04-06T10:12:03Z,87.1,Inspire 3
2026-04-06T10:13:03Z,87.1,Inspire 3
2026-04-06T10:14:03Z,87.1,Inspire 3
2026-04-06T10:15:03Z,87.2,Inspire 3
2026-04-06T10:16:03Z,87.0,Inspire 3
2026-04-06T10:17:03Z,87.1,Inspire 3
2026-04-06T10:18:03Z,87.5,Inspire 3
2026-04-06T10:19:03Z,87.4,Inspire 3
2026-04-06T10:20:03Z,87.3,Inspire 3
2026-04-06T10:21:03Z,87.0,Inspire 3
2026-04-06T10:22:03Z,87.1,Inspire 3
2026-04-06T10:23:03Z,87.2,Inspire 3
2026-04-06T10:24:03Z,87.0,Inspire 3
2026-04-06T10:25:03Z,87.2,Inspire 3
2026-04-06T10:26:03Z,87.0,Inspire 3
2026-04-06T10:27:03Z,87.2,Inspire 3
2026-04-06T10:28:03Z,87.5,Inspire 3
2026-04-06T10:29:03Z,87.6,Inspire 3
2026-04-06T10:30:03Z,88.3,Inspire 3
2026-04-06T10:31:03Z,87.8,Inspire 3
2026-04-06T10:32:03Z,50.0,Inspire 3
2026-04-06T10:33:03Z,87.6,Inspire 3
2026-04-06T10:34:03Z,88.1,Inspire 3
2026-04-06T10:35:03Z,88.0,Inspire 3
2026-04-06T10:36:03Z,88.2,Inspire 3
2026-04-06T10:37:03Z,88.1,Inspire 3
2026-04-06T10:38:03Z,88.0,Inspire 3
2026-04-06T10:39:03Z,88.0,Inspire 3
2026-04-06T10:40:03Z,88.2,Inspire 3
2026-04-06T10:41:03Z,88.2,Inspire 3
2026-04-06T10:42:03Z,88.3,Inspire 3
2026-04-06T10:43:03Z,88.3,Inspire 3
2026-04-06T10:44:03Z,88.3,Inspire 3
2026-04-06T10:45:03Z,88.0,Inspire 3
2026-04-06T10:46:03Z,88.0,Inspire 3
2026-04-06T10:47:03Z,88.1,Inspire 3
2026-04-06T10:48:03Z,88.6,Inspire 3
2026-04-06T10:49:03Z,88.5,Inspire 3
2026-04-06T10:50:03Z,88.5,Inspire 3
2026-04-06T10:51:03Z,88.1,Inspire 3
2026-04-06T10:52:03Z,87.7,Inspire 3
2026-04-06T10:53:03Z,87.6,Inspire 3
2026-04-06T10:54:03Z,87.6,Inspire 3
2026-04-06T10:55:03Z,88.2,Inspire 3
2026-04-06T10:56:03Z,88.3,Inspire 3
2026-04-06T10:57:03Z,88.3,Inspire 3
2026-04-06T10:58:03Z,88.1,Inspire 3
2026-04-06T10:59:03Z,88.2,Inspire 3
2026-04-06T11:00:03Z,88.3,Inspire 3
2026-04-06T11:01:03Z,88.4,Inspire 3
2026-04-06T11:02:03Z,50.0,Inspire 3
2026-04-06T11:03:03Z,88.1,Inspire 3
2026-04-06T11:04:03Z,87.7,Inspire 3
2026-04-06T11:05:03Z,87.0,Inspire 3
