start time,end time,data source
2026-04-11T01:05:00Z,2026-04-11T01:57:00Z,Fitbit App
2026-04-11T01:58:00Z,2026-04-11T02:15:00Z,Fitbit App
2026-04-11T02:25:00Z,2026-04-11T02:59:00Z,Fitbit App
2026-04-11T03:13:00Z,2026-04-11T03:27:00Z,Fitbit App
2026-04-11T03:32:00Z,2026-04-11T04:00:00Z,Fitbit App
2026-04-11T04:00:00Z,2026-04-11T05:04:00Z,Fitbit App
2026-04-11T13:20:00Z,2026-04-11T14:58:00Z,Fitbit App
2026-04-11T15:26:00Z,2026-04-11T15:37:00Z,Fitbit App
2026-04-11T16:22:00Z,2026-04-11T16:42:00Z,Fitbit App
2026-04-11T16:46:00Z,2026-04-11T17:00:00Z,Fitbit App
2026-04-11T17:10:00Z,2026-04-11T17:44:00Z,Fitbit App
2026-04-11T17:51:00Z,2026-04-11T18:46:00Z,Fitbit App
2026-04-11T21:21:00Z,2026-04-11T21:43:00Z,Fitbit App
2026-04-11T21:54:00Z,2026-04-11T22:52:00Z,Fitbit App
2026-04-11T23:05:00Z,2026-04-11T23:41:00Z,Fitbit App
2026-04-11T23:42:00Z,2026-04-12T00:03:00Z,Fitbit App
