timestamp,steps,data source
2026-04-02T17:17:00Z,7,Inspire 3
2026-04-06T02:43:00Z,7,Inspire 3
2026-04-06T02:44:00Z,37,Inspire 3
2026-04-06T02:47:00Z,16,Inspire 3
2026-04-06T02:48:00Z,25,Inspire 3
2026-04-06T02:49:00Z,11,Inspire 3
2026-04-06T02:50:00Z,7,Inspire 3
2026-04-06T02:53:00Z,14,Inspire 3
2026-04-06T02:54:00Z,2,Inspire 3
2026-04-06T03:18:00Z,10,Inspire 3
2026-04-06T04:22:00Z,5,Inspire 3
2026-04-06T04:24:00Z,4,Inspire 3
2026-04-06T04:26:00Z,19,Inspire 3
2026-04-06T04:27:00Z,33,Inspire 3
2026-04-06T04:28:00Z,27,Inspire 3
2026-04-06T04:29:00Z,21,Inspire 3
2026-04-06T04:39:00Z,5,Inspire 3
2026-04-06T04:56:00Z,6,Inspire 3
2026-04-06T05:42:00Z,7,Inspire 3
2026-04-06T05:54:00Z,31,Inspire 3
2026-04-06T05:57:00Z,20,Inspire 3
2026-04-06T05:58:00Z,9,Inspire 3
2026-04-06T06:03:00Z,8,Inspire 3
2026-04-06T06:22:00Z,10,Inspire 3
2026-04-06T07:18:00Z,35,Inspire 3
2026-04-06T07:19:00Z,22,Inspire 3
2026-04-06T07:23:00Z,7,Inspire 3
2026-04-06T07:24:00Z,16,Inspire 3
2026-04-06T07:25:00Z,11,Inspire 3
2026-04-06T07:26:00Z,11,Inspire 3
2026-04-06T11:18:00Z,6,Inspire 3
2026-04-06T13:21:00Z,7,Inspire 3
2026-04-06T13:25:00Z,31,Inspire 3
2026-04-06T13:26:00Z,8,Inspire 3
2026-04-06T13:27:00Z,7,Inspire 3
2026-04-06T13:28:00Z,32,Inspire 3
2026-04-06T13:29:00Z,19,Inspire 3
2026-04-06T13:30:00Z,29,Inspire 3
2026-04-06T13:31:00Z,7,Inspire 3
2026-04-06T13:33:00Z,10,Inspire 3
2026-04-06T13:35:00Z,8,Inspire 3
2026-04-06T13:37:00Z,18,Inspire 3
2026-04-06T13:38:00Z,7,Inspire 3
2026-04-06T13:39:00Z,10,Inspire 3
2026-04-06T13:40:00Z,13,Inspire 3
2026-04-06T13:41:00Z,109,Inspire 3
2026-04-06T13:42:00Z,2,Inspire 3
2026-04-06T13:43:00Z,107,Inspire 3
2026-04-06T13:44:00Z,108,Inspire 3
2026-04-06T13:45:00Z,106,Inspire 3
2026-04-06T13:46:00Z,112,Inspire 3
2026-04-06T13:47:00Z,109,Inspire 3
2026-04-06T13:48:00Z,91,Inspire 3
2026-04-06T13:49:00Z,56,Inspire 3
2026-04-06T13:50:00Z,21,Inspire 3
2026-04-06T13:51:00Z,42,Inspire 3
2026-04-06T13:53:00Z,27,Inspire 3
2026-04-06T13:54:00Z,55,Inspire 3
2026-04-06T13:55:00Z,10,Inspire 3
2026-04-06T14:09:00Z,48,Inspire 3
2026-04-06T14:10:00Z,88,Inspire 3
2026-04-06T14:11:00Z,85,Inspire 3
2026-04-06T14:12:00Z,11,Inspire 3
2026-04-06T14:18:00Z,11,Inspire 3
2026-04-06T14:19:00Z,19,Inspire 3
2026-04-06T14:20:00Z,5,Inspire 3
2026-04-06T14:21:00Z,53,Inspire 3
2026-04-06T14:22:00Z,92,Inspire 3
2026-04-06T14:23:00Z,60,Inspire 3
2026-04-06T14:24:00Z,54,Inspire 3
2026-04-06T14:25:00Z,85,Inspire 3
2026-04-06T14:26:00Z,16,Inspire 3
2026-04-06T14:34:00Z,42,Inspire 3
2026-04-06T14:37:00Z,6,Inspire 3
2026-04-06T14:45:00Z,7,Inspire 3
2026-04-06T14:46:00Z,8,Inspire 3
2026-04-06T15:26:00Z,5,Inspire 3
2026-04-06T15:42:00Z,71,Inspire 3
2026-04-06T15:43:00Z,111,Inspire 3
2026-04-06T15:44:00Z,100,Inspire 3
2026-04-06T15:45:00Z,100,Inspire 3
2026-04-06T15:46:00Z,108,Inspire 3
2026-04-06T15:47:00Z,79,Inspire 3
2026-04-06T15:48:00Z,68,Inspire 3
